county,state,smoking,foodenvironment,physicalinactivity,accesstoexercise,excessivedrinking,drivingalone,population,diabetesprevalence
Baltimore City,MD,20.2213931,6.6,24.7,99.39416485,17.84915668,60.04770052,613084,12.8
Allegany,MD,15.58771501,7.3,26.8,82.11940815,17.66731288,82.47118258,73112,14.5
Wicomico,MD,14.90961181,7.4,25.5,78.52896195,15.13423546,83.58843712,104882,12.6
Dorchester,MD,20.20955538,7.6,31.2,73.30308419,14.65209682,78.35252913,32993,17.8
Prince George's,MD,11.9866069,7.8,22.2,98.17203678,14.50605094,66.47779538,921366,12.6
Washington,MD,16.82416154,8.2,25.9,74.95014583,15.81806178,80.75697873,151388,13
Worcester,MD,15.14783438,8.2,25.5,89.55960664,15.91102982,80.4597211,50384,13.7
Charles,MD,14.4688463,8.3,22.5,79.97488929,16.3805485,81.41267232,163966,12.7
Baltimore County,MD,13.63960704,8.4,22.6,95.77965514,16.37556866,79.15951079,841519,10.9
Caroline,MD,21.26635749,8.5,29.1,34.57025343,16.21496498,83.70702541,33671,13
Cecil,MD,18.79795691,8.6,28.1,78.76725877,17.80019154,82.8555987,105743,11.8
Kent,MD,14.25721736,8.9,25.4,56.02812299,15.77179307,67.76072589,20066,11
Talbot,MD,12.3955928,8.9,19.5,71.57905881,18.32437772,78.13866334,38258,11.3
St. Mary's,MD,14.74343598,8.9,22,71.8870957,17.85230087,82.62494331,116380,11.8
Garrett,MD,16.06479548,8.9,27,74.79483005,13.71197623,79.54578541,30618,12.2
Harford,MD,14.74451316,9,22.9,91.39674708,18.24820804,83.37133563,258518,11.2
Anne Arundel,MD,12.66395416,9,18.8,92.45465502,20.14834961,80.09044441,583623,9.4
Calvert,MD,14.04662746,9.1,20.5,54.26485006,19.29708699,81.73081172,93836,11.2
Frederick,MD,13.31304337,9.3,20,94.5746299,18.5099084,78.10001787,256222,9.6
Queen Anne's,MD,13.55249753,9.4,21.2,81.36114482,20.13593719,77.65186401,51609,10.4
Howard,MD,9.746942967,9.4,15.6,96.79398088,16.23459667,81.19874614,327599,8.3
Carroll,MD,12.81733429,9.5,22.3,86.47612096,17.89118421,85.50818087,171975,10.3
Montgomery,MD,7.169271223,9.5,15.2,99.78997239,14.79383406,65.31421956,1051892,7.7
Vinton,OH,22.24280686,5.7,31.9,62.62746558,17.1699078,86.34050881,13229,15.1
Athens,OH,21.78920094,5.8,23.4,81.40432695,19.72407621,71.65380745,67080,10.7
Marion,OH,24.79100318,6.4,31,77.21838769,17.27910294,83.87886445,66047,14.5
Montgomery,OH,21.18123593,6.7,25,92.92763004,16.39668871,83.23123624,532131,13.3
Hamilton,OH,18.23086152,6.7,21.1,95.41921847,19.40022186,79.7734419,820366,11
Mahoning,OH,22.11438817,6.8,28.7,79.34872269,15.81086257,86.34037996,228218,12.7
Jefferson,OH,21.41853865,6.9,32.2,75.50244588,18.6204313,83.95470255,67661,15
Richland,OH,21.68383919,6.9,29.4,77.0668809,16.98784198,83.45233773,122173,11.5
Scioto,OH,21.94422318,6.9,33.8,77.45003082,16.41449927,89.09506034,77125,16.3
Clark,OH,21.9789233,6.9,27.9,86.09876168,17.335081,81.91025058,135021,14.2
Noble,OH,17.85260257,7,29.7,31.87435985,16.6309583,83.98717,14691,14
Meigs,OH,22.67373376,7,33.5,40.89188052,15.97291177,80.99307159,23518,14.2
Muskingum,OH,21.70858932,7,29.2,81.85630969,16.4970551,86.24835971,86235,13.3
Franklin,OH,19.2685158,7,22,95.88822208,19.71503276,81.3441587,1294124,9.7
Cuyahoga,OH,20.62183686,7,23,97.18362781,16.8423928,79.78960304,1250646,11.5
Pike,OH,23.89681864,7.1,28.7,48.2740604,16.50069537,83.94976266,28443,13.2
Ashtabula,OH,21.67951912,7.1,30.2,72.99526094,17.18368785,84.65447155,99452,13.5
Trumbull,OH,21.78830805,7.1,25.3,81.6924379,17.00187705,88.7884684,202118,12.6
Lucas,OH,21.11499676,7.1,26.7,97.71080656,18.72950978,84.3293527,435519,11.8
Adams,OH,25.28980297,7.2,30.8,41.72329247,16.58438766,80.8193109,28098,13.2
Crawford,OH,20.39867333,7.2,25.1,82.06879225,16.61757608,84.36578171,42661,12.2
Guernsey,OH,20.68221952,7.3,26.9,49.28280989,17.13128045,86.01372427,39857,11.9
Clinton,OH,20.19509868,7.3,28,51.92435776,17.85360863,83.3681728,42621,12.8
Summit,OH,19.52536035,7.3,24.4,94.24656826,17.87995242,85.91400462,546800,10.5
Gallia,OH,22.61244269,7.4,30.3,52.50210125,16.02289905,85.90278369,30040,15.5
Jackson,OH,23.51836983,7.4,33.2,58.30850263,17.20669549,84.85197116,32822,13.3
Monroe,OH,21.01443105,7.4,32.1,70.25679552,16.71263587,83.35227273,14633,14.5
Ross,OH,23.38438681,7.4,29.9,70.95075835,16.34954688,85.14514515,77751,12.5
Columbiana,OH,21.68692393,7.4,26.8,79.37704584,17.51204031,86.51925499,104344,13.1
Stark,OH,19.9729678,7.4,26.1,79.8219316,18.32412042,85.14454623,378644,12.3
Erie,OH,19.69032723,7.4,28.6,86.14019383,17.72570975,84.54441913,75759,11.8
Morgan,OH,22.09069536,7.5,29.8,27.74677827,16.04287003,84.90896359,15092,13.1
Lawrence,OH,23.11416361,7.5,34.5,48.64371497,16.3754582,87.65046629,61264,16.6
Coshocton,OH,19.60449005,7.5,29.4,63.41291564,17.76371431,80.02879204,36794,12.9
Allen,OH,20.34992634,7.5,27,75.83113109,16.52568718,86.3964687,105873,12.1
Hocking,OH,21.34970367,7.5,25.5,83.07011573,16.76928346,85.19033975,28688,15.1
Portage,OH,20.4292712,7.5,23.9,83.65248205,18.52134099,84.06009527,166142,10.7
Highland,OH,21.90575211,7.6,28.2,41.76741839,15.76596145,81.40090983,43404,13.2
Belmont,OH,22.31096319,7.6,29.9,60.79545455,17.88905924,88.33379752,69098,12.8
Wood,OH,17.11147364,7.6,21,77.18985082,18.20234624,83.72775609,131617,10.7
Greene,OH,17.76521836,7.6,19.7,77.72214417,19.01092001,83.71501926,166284,10.9
Lorain,OH,19.87308947,7.6,24.8,89.53596411,17.34620714,83.92910046,311021,11.9
Madison,OH,20.4583136,7.7,28.6,56.44986762,19.63683898,83.56269113,44411,11.6
Tuscarawas,OH,21.38441744,7.7,27.6,75.62269124,16.89823582,84.68144175,93181,13.5
Butler,OH,20.19711683,7.7,24.8,83.54684487,18.64257351,84.74308568,388060,11.6
Perry,OH,21.60006721,7.7,27.6,84.23096123,17.60776173,84.43438293,36217,12.7
Williams,OH,20.46070056,7.8,30.9,63.67089953,16.74501381,89.00277971,37673,12.8
Washington,OH,19.19027586,7.8,30.7,67.55964907,16.45161666,85.12261787,61114,14.1
Clermont,OH,20.60724406,7.8,24.5,83.41330442,20.10681607,85.63718171,207396,12.3
Harrison,OH,20.79009245,7.9,27.7,26.65784165,18.00577919,81.66011491,16526,12.5
Brown,OH,23.72048248,7.9,29.2,49.83722071,17.7646847,83.85261591,44702,14.1
Fayette,OH,22.20420158,7.9,29.8,55.04650362,16.81442492,86.83523654,28947,13.1
Knox,OH,20.08393976,7.9,25.4,68.87772689,18.21576657,77.81711547,62349,12.4
Seneca,OH,20.03329565,7.9,24.5,73.03374747,17.43595191,84.07894737,56104,12.9
Licking,OH,20.92797183,7.9,22.3,79.55217068,18.16455859,83.61899617,175416,11.9
Hardin,OH,23.18672869,8,33.9,64.60477884,20.18225552,81.03882632,31757,12.4
Huron,OH,19.66789226,8,29.2,69.80679569,18.68510543,83.64299684,59424,13.5
Ottawa,OH,18.64374238,8,27.5,74.6886164,17.63791239,87.77552976,41461,13.3
Fairfield,OH,19.08264663,8,22,78.34026656,18.58404186,85.38093538,156571,11.6
Lake,OH,17.62615214,8,20.3,91.22113015,17.8866644,87.4741568,232488,10.8
Carroll,OH,21.35292995,8.1,27.7,30.20876682,16.7984567,83.18641854,28232,12.3
Wayne,OH,18.64705422,8.1,24,67.30090814,17.41476282,80.01501117,117553,12.7
Shelby,OH,17.81625145,8.1,25.7,69.330069,18.68331755,85.56189841,49585,11.8
Hancock,OH,19.58717653,8.1,26.1,84.97499398,19.02602226,84.14371714,76649,11.9
Ashland,OH,19.9860425,8.2,29.9,60.07263968,17.08335282,84.90310951,54222,10.9
Van Wert,OH,18.38795925,8.2,25.3,62.51391595,17.88361699,86.00798253,28765,13.6
Logan,OH,19.51201143,8.2,23.9,63.68790615,17.88695073,80.3765771,46115,11.1
Miami,OH,18.85889337,8.2,25,85.47499659,18.15153672,85.83872724,107331,13
Paulding,OH,20.31460715,8.3,27.5,18.55817273,18.30473032,84.73228899,19154,12.3
Darke,OH,19.79342461,8.3,28.8,53.70569686,17.76079379,84.84810601,52092,11.5
Defiance,OH,21.15503171,8.3,24.9,69.01401235,18.36155413,86.8439697,38476,12.1
Pickaway,OH,20.62890077,8.3,28,84.02097023,19.76670801,86.57612521,58626,12.9
Fulton,OH,18.15881361,8.4,25.9,54.27888894,19.4753115,88.03527683,43186,14.4
Union,OH,17.90828726,8.4,22.9,78.11281071,19.01593563,86.95602729,57894,9.4
Sandusky,OH,18.93808049,8.4,25.6,82.37398267,17.0462867,85.67008455,59964,13.3
Preble,OH,20.21095416,8.5,31,41.76011356,17.68120756,84.16282481,41987,13.7
Henry,OH,17.11756301,8.5,25.8,43.0976431,18.54160729,88.06890845,28064,11.3
Wyandot,OH,20.01994481,8.5,28.8,58.47004201,18.4740694,84.25432445,22253,11.8
Champaign,OH,19.39885841,8.5,26.6,67.54121256,18.51253413,85.02247767,39542,13.1
Warren,OH,15.64169572,8.5,19.1,88.97895088,19.39962334,86.66144683,234063,10.9
Holmes,OH,20.72785592,8.6,27.3,37.10994666,19.70589124,52.53718965,44171,11.6
Medina,OH,17.33905989,8.6,21.5,92.69955667,19.71092012,87.87232625,181707,10.9
Morrow,OH,19.64076382,8.7,30.3,17.33425216,17.7085772,85.26937534,35356,13.6
Auglaize,OH,18.67148444,8.7,29.5,78.22803543,19.9200046,87.58392188,46749,11.7
Putnam,OH,16.25425699,8.8,24.2,37.29963187,20.58238989,86.35655336,34510,10.5
Geauga,OH,15.73431884,8.8,24.7,82.3523113,18.20762597,79.16855631,95381,11.9
Mercer,OH,16.18820794,8.9,25.2,67.79536434,19.88671677,88.85234636,41347,11.6
Delaware,OH,13.60697561,8.9,17.4,95.69781992,20.5056449,85.99258263,202801,8.6
Philadelphia,PA,19.72653338,6.9,24.2,99.69973906,22.0839822,50.99819266,1591765,10.8
Fayette,PA,19.34020355,7.2,31.3,59.22287454,17.60299225,85.31734811,135368,15.4
Lawrence,PA,17.93154117,7.2,26.4,84.17921588,19.03960679,83.98075923,88566,10.8
Indiana,PA,18.73499956,7.3,24.9,62.20522052,21.88677556,79.606906,87428,10.6
Erie,PA,17.70471334,7.3,21.1,88.48898298,19.28789732,78.80846094,278357,10.5
Beaver,PA,14.88903051,7.4,26.6,84.78647113,20.12006665,82.16737476,168656,11.8
Cambria,PA,17.28914053,7.5,25.2,80.38753054,19.85674174,83.30504083,136092,13.3
Union,PA,15.24686999,7.5,20.8,87.97250095,23.35164798,73.93214683,45405,10.6
Sullivan,PA,15.75101216,7.6,22.5,36.7921593,19.43308236,78.40596781,6162,13.1
Greene,PA,17.58114974,7.6,24.1,44.58460425,21.33938342,84.18919863,37681,11.5
Dauphin,PA,16.54048157,7.6,23.3,81.58149944,18.82795865,79.08798412,277575,10.7
Lycoming,PA,17.0797598,7.7,26.8,53.9621569,20.70905339,82.49400932,116064,11.8
Clinton,PA,15.62410092,7.7,23.1,72.4782099,20.75196326,79.43508711,39461,10.8
Blair,PA,16.8348472,7.7,24.3,73.40367774,19.09321279,82.49824587,126399,13.6
Allegheny,PA,16.9855359,7.7,21,92.70371145,24.30367435,72.01175633,1236649,10
Potter,PA,16.8697819,7.8,24.5,42.25239159,18.28648612,78.5908268,17061,11.7
Mercer,PA,16.65515345,7.8,24.7,85.05032665,19.34536073,81.90941422,114176,11.8
Somerset,PA,16.06384496,7.9,27.6,78.6203082,19.0778969,81.69952877,75455,12.5
Monroe,PA,16.90205323,7.9,26.3,84.82000919,18.59890335,78.51817944,171973,11.2
Centre,PA,14.61854427,7.9,17.2,86.28287551,23.31301165,68.342813,166313,7.4
Tioga,PA,15.88474953,8,23.8,56.76377409,19.77586751,79.86289154,41775,12.7
Juniata,PA,16.42657693,8,24.5,61.34518591,19.44589196,78.31651045,25156,10.8
Clearfield,PA,15.98866301,8,27.8,61.37282281,19.41621408,83.07767227,81843,12
Clarion,PA,17.54453941,8,25.7,63.20396119,19.83467736,82.8881123,39311,13.3
Luzerne,PA,17.14773526,8,25.2,80.71407649,20.11317964,81.62303773,320238,11.7
Westmoreland,PA,14.45201201,8,24.6,82.50125285,20.32122182,84.4518245,360340,12.5
Forest,PA,17.25147047,8,21.4,90.92794194,20.88246491,80.22284123,7497,11
Cameron,PA,16.12120643,8,26.9,93.29400197,17.88333438,78.95752896,4672,12.2
Venango,PA,16.90458018,8.1,24.2,67.06132693,18.55266338,79.94856332,53039,12.9
Crawford,PA,15.73121299,8.1,25.4,69.45530333,19.84416428,77.06698692,86977,13.3
Washington,PA,15.43068409,8.1,22.7,70.63901453,21.26322046,82.6242635,212875,10.9
Northumberland,PA,18.07446582,8.1,26.6,76.62914692,19.91904893,83.15990969,93128,12
Lackawanna,PA,16.33350279,8.1,24.2,90.07867113,21.40787232,80.7928011,216575,11.1
Delaware,PA,14.76232422,8.1,20.2,96.39396113,18.72019048,73.32634969,569245,9.8
Bradford,PA,17.23962829,8.2,27.1,60.31426655,18.59576003,80.9118774,61736,10.7
Columbia,PA,16.56783918,8.2,26.1,76.64313842,20.36923539,84.54756537,67324,12.1
Armstrong,PA,15.2165451,8.2,27.5,78.56573012,18.62784515,83.30083804,67100,11
Warren,PA,16.17248342,8.2,23.3,79.93782136,19.16989745,81.57953781,40837,13.4
McKean,PA,17.85838839,8.2,23.7,80.55696203,20.86460036,80.97345133,42025,12.6
Fulton,PA,15.71011137,8.3,20.4,56.38935669,19.92514945,77.89052891,15094,11.6
Jefferson,PA,17.3505696,8.3,23.7,58.32079646,19.19224932,83.23073766,44615,11.9
Mifflin,PA,16.72750594,8.3,23.6,63.10997815,18.18282772,79.22585054,47621,13.6
Huntingdon,PA,17.74564526,8.3,26.3,68.56881493,19.97313319,77.00165654,45875,11.8
Franklin,PA,14.84827062,8.3,25.9,69.84854764,18.60606834,83.80608997,156010,11.9
Schuylkill,PA,17.75461108,8.3,24.3,74.89227117,19.98575678,83.91897144,146085,12.4
Bedford,PA,15.80595257,8.4,24,62.93557333,18.5807565,80.76994348,49255,12.7
York,PA,15.24144021,8.4,20.5,72.56605023,19.1757436,84.65616738,453095,12.8
Carbon,PA,16.67727557,8.4,24.2,74.20496866,19.80427074,83.45444382,64340,11.7
Susquehanna,PA,18.91857471,8.5,27.6,42.06338223,18.71382549,82.88814231,42315,11.8
Snyder,PA,16.78461134,8.5,21.8,67.53564052,19.92213924,78.31522853,41335,9.9
Lancaster,PA,14.40623334,8.5,20.6,78.56539191,21.48578602,78.74479375,549061,10.5
Cumberland,PA,14.38257683,8.5,18.5,82.00725555,19.96739785,81.87922218,256177,9.8
Montour,PA,14.4361726,8.6,26,48.66152078,20.06273275,81.57987127,18806,11.8
Perry,PA,15.29118403,8.6,25.9,49.85533729,21.35612507,79.18040716,46979,10.5
Wayne,PA,16.74505526,8.6,25.5,57.79599409,19.12135362,82.30650005,55333,12.1
Elk,PA,15.58440898,8.6,26.7,81.59393977,19.67826249,84.87027826,30836,11.5
Lehigh,PA,15.01862544,8.6,23.2,82.97267216,19.90981301,80.59796549,367753,11.7
Butler,PA,13.92485578,8.6,21.8,83.3581708,22.33447911,84.61361495,192150,11.8
Northampton,PA,14.9863091,8.6,26.7,84.66958873,20.33126924,83.09957973,309527,12.1
Wyoming,PA,15.4761451,8.7,24.3,55.6231433,21.00139153,82.46571072,27898,10.7
Chester,PA,13.61152263,8.7,16.1,85.45178658,23.95157493,78.96888477,526546,8.7
Berks,PA,15.40738235,8.7,23.6,88.01507868,19.46503428,79.81596025,420834,12
Montgomery,PA,13.38303057,8.7,17.1,95.59293089,19.17678289,78.61984554,837591,8.4
Pike,PA,14.48386447,8.8,28.5,74.18466419,19.19467212,81.01599868,56600,12.1
Lebanon,PA,14.78363824,8.8,21.3,81.42444298,20.04856,81.09994287,141970,9.5
Adams,PA,15.0533592,8.9,21.8,60.73939669,21.1085967,82.25457924,105243,10
Bucks,PA,11.83409229,8.9,18.8,89.9528028,21.34762533,81.89707014,635355,10.1
Buena Vista,VA,21.50163808,3.2,21.5,97.2481203,15.1254307,87.94402583,6541,10.1
Petersburg,VA,21.62023554,3.9,27.5,89.68229488,12.26179632,78.63437755,32589,14.7
Franklin City,VA,18.87955676,4.4,27.5,62.91074342,13.22160052,87.84018529,8451,14.2
Nottoway,VA,19.72806943,4.9,26.9,63.28139784,15.02938622,85.72469046,16165,14.3
Sussex,VA,19.69913144,5.5,25.6,27.47580045,16.02717205,84.08831367,12008,12.1
Cumberland,VA,19.26134718,5.5,24.1,39.64385197,14.51173685,78.2315881,9972,16.3
Emporia,VA,23.82704304,5.9,26.8,89.92745065,11.22639822,78.92234548,5696,13.7
Martinsville,VA,19.87161621,6,26.2,94.73988858,13.88014516,78.6336109,13670,13.9
Charlotte,VA,19.51953817,6.2,24.9,21.62720483,14.18697039,75.3014553,12578,12.5
Hopewell,VA,19.57753548,6.2,27.3,89.610907,15.63081299,83.31021236,23385,13.3
Richmond City,VA,20.53073024,6.2,21.3,90.98984399,18.89631145,70.68060378,226884,10.1
Radford,VA,23.25198764,6.3,19.8,97.87908337,18.37427816,78.04945055,17888,7.8
Highland,VA,15.38434357,6.4,24.4,73.63205515,14.99463876,72.70668177,2270,13.9
Danville,VA,19.82620707,6.5,28,83.23539659,12.91587265,80.49403748,42239,13.3
Norfolk,VA,19.90765438,6.5,22.5,89.1442857,21.08477994,73.77979927,249954,9.7
Lynchburg,VA,18.03780174,6.6,23.3,89.27985391,17.05563987,74.56704031,82094,10.2
Hampton,VA,17.26290157,6.6,22.3,91.73651736,17.67605495,83.42897475,137016,13.2
Halifax,VA,19.14124406,6.7,28.3,45.26641097,14.09679166,83.21395646,35545,15.8
Prince Edward,VA,18.74491359,6.7,23.4,81.38479973,17.2847161,75.16468277,23817,12.3
Brunswick,VA,19.29306973,6.8,27.1,16.55386027,13.75602655,84.28829421,17225,12.9
Bristol,VA,19.48835257,6.8,26.9,91.60078497,15.4341419,80.06540594,17244,11.5
Portsmouth,VA,20.96540799,6.8,27.8,98.17553776,15.57037965,82.24961691,96161,12.6
Southampton,VA,17.78955424,6.9,27.4,31.05008078,14.87455566,85.32038835,18446,15.5
Roanoke City,VA,18.88437213,7,25.2,92.75908979,15.17536452,78.8470219,100507,11.5
Essex,VA,17.00374746,7.1,25.7,24.57178728,14.48345452,85.22263271,12447,14.4
Newport News,VA,17.90886858,7.1,22.2,98.50818121,16.2586504,79.10843759,187135,12.2
Surry,VA,16.84406996,7.2,24.4,9.280249362,14.93919169,77.76676578,7287,13.4
Greensville,VA,21.19251261,7.2,27.3,16.40120885,15.14300074,83.34167084,11802,13.2
Norton,VA,20.23338161,7.3,25.5,99.67155129,16.13197249,96.09817495,4000,9.9
Covington,VA,18.23991569,7.3,23,100,16.24722094,90.64458371,5825,11.4
Rappahannock,VA,13.96273732,7.4,24.5,48.40634748,16.39409203,73.4036488,7580,12.6
Charlottesville,VA,18.95042564,7.4,20.1,100,19.10648886,59.82327195,48656,8.2
Dinwiddie,VA,17.21580893,7.5,24.6,31.19174315,16.28635352,86.30843959,28580,13
Mecklenburg,VA,18.53339828,7.5,28.8,55.440462,13.29852169,80.12953782,31841,16
Williamsburg,VA,16.1079044,7.5,22.1,100,18.6145561,60.5778811,15108,9.2
Buckingham,VA,19.75229962,7.6,31.6,36.54496676,15.9414903,81.07098381,17322,13.9
Henry,VA,18.84230105,7.6,34,40.27811121,13.67953738,87.26510481,52824,16.5
Northampton,VA,16.92145579,7.7,26.1,19.58188716,12.82744953,75.32948929,12399,14.6
Prince George,VA,16.97619784,7.7,25.2,40.54023793,17.19096037,83.44861968,37709,10.8
Tazewell,VA,17.8624352,7.7,31.7,56.32015617,15.51342253,84.47671826,44613,13
Wise,VA,20.6707628,7.7,28.7,72.7660909,15.82886565,84.86313655,41000,14
Suffolk,VA,15.64470506,7.7,26.1,76.39415972,16.81543581,85.46338892,94678,12.5
Harrisonburg,VA,20.44441659,7.7,22.2,81.26303308,18.80487326,69.47839284,53471,7.7
Grayson,VA,18.4331549,7.8,29.4,78.49739265,14.29366783,83.04710887,16000,11.4
Fredericksburg,VA,18.07353696,7.8,24.6,100,18.71282438,71.51894382,28396,9.2
